province,address,price,Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$80,000",Monolith,No,Available,14,68,2,2,from 2.75 m,12,Closed balcony,Available,Euro Renovation
Kanaker-Zeytun,Yerevan › Kanaker-Zeytun,"$265,000",Stone,Yes,Not available,6,160,4,2,from 3 m,5,Multiple balconies,Partial Furniture,Major Renovation
Malatia-Sebastia,"Gusan Sheram Street, Yerevan","$88,000",Stone,No,Not available,5,72,3,1,from 2.75 m,4,Open balcony,Available,Partial Renovation
Arabkir,"Komitas Avenue, Yerevan","$184,000",Monolith,Yes,Available,18,64,2,1,from 3 m,6,Open balcony,Partial Furniture,Major Renovation
Nork-Marash,"Սերո Խանզադյան փողոց, Երևան","110,000,000 ֏",Monolith,Yes,Available,12,93,3,2,from 3 m,3,Open balcony,Available,Designer Renovation
Kanaker-Zeytun,"Դրոյի փողոց, Երևան","$71,000",Stone,No,Not available,5,45,1,1,from 2.7 m,4,Closed balcony,Available,Cosmetic Renovation
Arabkir,"Նաիրի Զարյան փողոց, Երևան","$149,000",Monolith,Yes,Available,12,52,2,2,from 3 m,10,Open balcony,Available,Euro Renovation
Kentron,"Տիգրան Մեծի պողոտա, Yerevan","$250,000",Stone,No,Not available,4,90,3,1,from 3.2 m,2,Open balcony,Available,Euro Renovation
Kentron,"Մարշալ Բաղրամյան պողոտա, Yerevan","$800,000",Monolith,Yes,Available,17,376,5,3+,from 3 m,17,Open balcony,Not available,No Renovation
Kentron,"Եզնիկ Կողբացու փողոց, Yerevan","$240,000",Monolith,No,Available,10,74,3,1,from 2.8 m,9,Not available,Partial Furniture,Euro Renovation
Kentron,"Մարշալ Բաղրամյան պողոտա, Yerevan","$850,000",Monolith,Yes,Available,16,375,8+,3+,from 3.2 m,16,Multiple balconies,Not available,No Renovation
Kentron,"Hanrapetutyun street, Yerevan","$355,000",Stone,No,Not available,5,98,3,1,from 3 m,3,Open balcony,Available,Euro Renovation
Kentron,"Northern Avenue, Yerevan","$540,000",Monolith,Yes,Available,10,105,3,2,from 3 m,5,Open balcony,Available,Euro Renovation
Kentron,"Moskovyan street, Yerevan","€235,000",Stone,No,Not available,5,50,2,1,from 3.2 m,2,Open balcony,By agreement,Old Renovation
Kanaker-Zeytun,Yerevan › Kanaker-Zeytun,"$140,000",Panels,No,Available,9,70,2,1,from 2.75 m,2,Closed balcony,Partial Furniture,Major Renovation
Malatia-Sebastia,"Gusan Sheram Street, Yerevan","$130,000",Panels,No,Available,9,90,4,2,from 2.75 m,9,Multiple balconies,Not available,Euro Renovation
Arabkir,"Mamikonyants street, Yerevan","$186,000",Panels,Yes,Available,10,78,2,1,from 2.8 m,9,Not available,Available,Designer Renovation
Arabkir,"Hrachya Kochar Street, Yerevan","$160,000",Stone,No,Not available,5,60,3,1,from 2.8 m,5,Not available,Available,Euro Renovation
Arabkir,"Վահրամ Փափազյան փողոց, Yerevan","$173,000",Panels,No,Available,16,98,4,1,from 2.7 m,2,Not available,Not available,Euro Renovation
Arabkir,"Nikoghayos Adonts street 6, Yerevan","$177,000",Monolith,Yes,Available,8,47,2,1,from 3 m,7,Open balcony,Available,Designer Renovation
Arabkir,"Նիկողայոս Տիգրանյան փակուղի, Երևան","$160,000",Monolith,Yes,Available,12,58,2,1,from 3 m,9,Open balcony,Partial Furniture,Euro Renovation
Arabkir,"Komitas Avenue, Yerevan","$190,000",Monolith,Yes,Available,18,65,2,1,from 3 m,8,Closed balcony,Available,Euro Renovation
Erebuni,"Աթոյան փողոց, Երևան","$130,000",Stone,No,Not available,5,82,3,1,from 2.8 m,2,Closed balcony,By agreement,Major Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$170,000",Monolith,Yes,Available,12,74,3,1,from 3 m,6,Open balcony,Not available,Major Renovation
Arabkir,"Նիկողայոս Տիգրանյան փողոց, Երևան","$188,000",Monolith,Yes,Available,12,94,4,2,from 3 m,11,Open balcony,Not available,No Renovation
Arabkir,"Nikoghayos Tigranyan street, Yerevan","$230,000",Monolith,Yes,Available,11,93,3,2,from 3 m,2,Open balcony,Available,Euro Renovation
Kanaker-Zeytun,"Կարապետ Ուլնեցու փողոց, Երևան","$138,000",Monolith,Yes,Available,16,74,3,1,from 2.8 m,5,Open balcony,Not available,No Renovation
Shengavit,"Улица Аэрации 2/4, Ереван","$72,000",Stone,No,Not available,5,78,3,1,from 2.7 m,5,Multiple balconies,Available,Partial Renovation
Kentron,Yerevan › Kentron,"$300,000",Stone,No,Not available,5,98,3,2,from 2.7 m,3,Closed balcony,Available,Major Renovation
Arabkir,"Նիկողայոս Ադոնցի փողոց, Երևան","$195,000",Monolith,Yes,Available,9,99,3,2,from 3 m,4,Open balcony,Not available,Major Renovation
Davitashen,"SasnaTsrer street, Yerevan","$330,000",Monolith,Yes,Available,14,111,4,2,from 3 m,6,Open balcony,Partial Furniture,Major Renovation
Shengavit,"Artashisyan street, Yerevan","$86,000",Panels,No,Available,9,60,2,1,from 2.8 m,1,Closed balcony,Not available,Cosmetic Renovation
Nor Nork,"Մոլդովական փողոց, Երևան","72,600,000 ֏",Monolith,Yes,Available,14,132,4,2,from 3 m,11,Open balcony,Not available,No Renovation
Malatia-Sebastia,"Arno Babajanian street, Yerevan","$82,000",Panels,No,Available,9,63,2,1,from 2.7 m,9,Closed balcony,By agreement,Euro Renovation
Erebuni,"Erebuni street, Yerevan","$53,200",Stone,Yes,Not available,3,38,2,1,from 3.2 m,1,Open balcony,Not available,Partial Renovation
Kanaker-Zeytun,"Rubiniants street, Yerevan","$72,000",Stone,No,Not available,5,47,1,1,from 2.75 m,2,Closed balcony,By agreement,Cosmetic Renovation
Kentron,"Տերյան փողոց, Երևան","$230,000",Panels,No,Available,9,89,3,1,from 2.75 m,9,Open balcony,By agreement,Old Renovation
Kentron,"Արգիշտի փողոց, Երևան","$255,000",Monolith,Yes,Available,14,56,2,1,from 3 m,10,Open balcony,Available,Euro Renovation
Erebuni,"Nubarashen 11 street, Yerevan","$80,000",Stone,No,Not available,5,97,4,1,from 2.8 m,5,Multiple balconies,Not available,No Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$80,000",Monolith,No,Available,14,68,2,2,from 2.75 m,12,Closed balcony,Available,Euro Renovation
Kanaker-Zeytun,Yerevan › Kanaker-Zeytun,"$265,000",Stone,Yes,Not available,6,160,4,2,from 3 m,5,Multiple balconies,Partial Furniture,Major Renovation
Malatia-Sebastia,"Gusan Sheram Street, Yerevan","$88,000",Stone,No,Not available,5,72,3,1,from 2.75 m,4,Open balcony,Available,Partial Renovation
Arabkir,"Komitas Avenue, Yerevan","$184,000",Monolith,Yes,Available,18,64,2,1,from 3 m,6,Open balcony,Partial Furniture,Major Renovation
Nork-Marash,"Սերո Խանզադյան փողոց, Երևան","110,000,000 ֏",Monolith,Yes,Available,12,93,3,2,from 3 m,3,Open balcony,Available,Designer Renovation
Kanaker-Zeytun,"Դրոյի փողոց, Երևան","$71,000",Stone,No,Not available,5,45,1,1,from 2.7 m,4,Closed balcony,Available,Cosmetic Renovation
Arabkir,"Նաիրի Զարյան փողոց, Երևան","$149,000",Monolith,Yes,Available,12,52,2,2,from 3 m,10,Open balcony,Available,Euro Renovation
Kentron,"Տիգրան Մեծի պողոտա, Yerevan","$250,000",Stone,No,Not available,4,90,3,1,from 3.2 m,2,Open balcony,Available,Euro Renovation
Kentron,"Մարշալ Բաղրամյան պողոտա, Yerevan","$800,000",Monolith,Yes,Available,17,376,5,3+,from 3 m,17,Open balcony,Not available,No Renovation
Kentron,"Եզնիկ Կողբացու փողոց, Yerevan","$240,000",Monolith,No,Available,10,74,3,1,from 2.8 m,9,Not available,Partial Furniture,Euro Renovation
Kentron,"Մարշալ Բաղրամյան պողոտա, Yerevan","$850,000",Monolith,Yes,Available,16,375,8+,3+,from 3.2 m,16,Multiple balconies,Not available,No Renovation
Kentron,"Hanrapetutyun street, Yerevan","$355,000",Stone,No,Not available,5,98,3,1,from 3 m,3,Open balcony,Available,Euro Renovation
Kentron,"Northern Avenue, Yerevan","$540,000",Monolith,Yes,Available,10,105,3,2,from 3 m,5,Open balcony,Available,Euro Renovation
Kentron,"Moskovyan street, Yerevan","€235,000",Stone,No,Not available,5,50,2,1,from 3.2 m,2,Open balcony,By agreement,Old Renovation
Kanaker-Zeytun,Yerevan › Kanaker-Zeytun,"$140,000",Panels,No,Available,9,70,2,1,from 2.75 m,2,Closed balcony,Partial Furniture,Major Renovation
Malatia-Sebastia,"Gusan Sheram Street, Yerevan","$130,000",Panels,No,Available,9,90,4,2,from 2.75 m,9,Multiple balconies,Not available,Euro Renovation
Arabkir,"Mamikonyants street, Yerevan","$186,000",Panels,Yes,Available,10,78,2,1,from 2.8 m,9,Not available,Available,Designer Renovation
Arabkir,"Hrachya Kochar Street, Yerevan","$160,000",Stone,No,Not available,5,60,3,1,from 2.8 m,5,Not available,Available,Euro Renovation
Arabkir,"Վահրամ Փափազյան փողոց, Yerevan","$173,000",Panels,No,Available,16,98,4,1,from 2.7 m,2,Not available,Not available,Euro Renovation
Arabkir,"Nikoghayos Adonts street 6, Yerevan","$177,000",Monolith,Yes,Available,8,47,2,1,from 3 m,7,Open balcony,Available,Designer Renovation
Arabkir,"Նիկողայոս Տիգրանյան փակուղի, Երևան","$160,000",Monolith,Yes,Available,12,58,2,1,from 3 m,9,Open balcony,Partial Furniture,Euro Renovation
Arabkir,"Komitas Avenue, Yerevan","$190,000",Monolith,Yes,Available,18,65,2,1,from 3 m,8,Closed balcony,Available,Euro Renovation
Erebuni,"Աթոյան փողոց, Երևան","$130,000",Stone,No,Not available,5,82,3,1,from 2.8 m,2,Closed balcony,By agreement,Major Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$170,000",Monolith,Yes,Available,12,74,3,1,from 3 m,6,Open balcony,Not available,Major Renovation
Arabkir,"Նիկողայոս Տիգրանյան փողոց, Երևան","$188,000",Monolith,Yes,Available,12,94,4,2,from 3 m,11,Open balcony,Not available,No Renovation
Arabkir,"Nikoghayos Tigranyan street, Yerevan","$230,000",Monolith,Yes,Available,11,93,3,2,from 3 m,2,Open balcony,Available,Euro Renovation
Shengavit,Yerevan › Shengavit,"$95,000",Panels,No,Available,10,67,2,1,from 2.75 m,9,Closed balcony,Available,Partial Renovation
Arabkir,"Papazyan St, Yerevan","$150,000",Stone,No,Not available,5,60,3,1,from 3 m,5,Open balcony,By agreement,Designer Renovation
Arabkir,"Sevkaretsi Sako street, Yerevan","$210,000",Monolith,Yes,Available,6,98,3,3+,from 3 m,4,Multiple balconies,Not available,No Renovation
Arabkir,"Komitas Avenue, Yerevan","$270,000",Monolith,Yes,Available,16,125,4,2,from 3 m,7,Multiple balconies,Available,Euro Renovation
Ajapnyak,"Margarian street, Yerevan","$107,000",Stone,No,Not available,5,78,3,1,from 2.75 m,5,Open balcony,Partial Furniture,Major Renovation
Kentron,"Koryun street 21, Yerevan","€435,000",Stone,No,Not available,5,85,3,2,from 3.5 m,4,Open balcony,Available,Major Renovation
Kanaker-Zeytun,"Սևակի փողոց, Երևան","$173,000",Monolith,Yes,Available,8,88,3,1,from 2.8 m,3,Open balcony,By agreement,Major Renovation
Kentron,"Աբովյան փողոց, Երևան","$205,000",Stone,No,Not available,4,49,2,1,from 3 m,4,Open balcony,Available,Major Renovation
Ajapnyak,"Լենինգրադյան փողոց, Երևան","$133,000",Monolith,Yes,Available,14,58,2,1,from 3 m,6,Open balcony,Available,Euro Renovation
Arabkir,"Hakob Hakobyan Street, Yerevan","$95,000",Panels,No,Available,14,54,1,1,from 2.75 m,8,Not available,Available,Euro Renovation
Kanaker-Zeytun,"Ավետիս Ահարոնյանի փողոց, Երևան","$115,000",Stone,No,Not available,5,100,3,1,from 2.75 m,5,Closed balcony,Not available,Old Renovation
Davitashen,"Artem Mikoyan street, Yerevan","$230,000",Monolith,Yes,Available,15,104,4,2,from 3 m,4,Open balcony,Not available,Major Renovation
Arabkir,"Avet Avetisyan Street, Yerevan","$250,000",Monolith,Yes,Available,10,132,4,2,from 3 m,9,Open balcony,Available,Euro Renovation
Kentron,"Abovyan street, Yerevan","$250,000",Stone,No,Not available,5,60,2,1,from 2.8 m,4,Open balcony,Available,Major Renovation
Kentron,"Սարյանի փողոց, Երևան","$450,000",Monolith,Yes,Available,12,127,4,2,from 3 m,3,Open balcony,Available,Major Renovation
Kentron,"Մաշտոցի պողոտա, Երևան","$360,000",Stone,No,Not available,4,113,3,2,from 3 m,2,Open balcony,By agreement,Partial Renovation
Davitashen,"SasnaTsrer street, Yerevan","$408,000",Monolith,Yes,Available,18,124,3,2,from 3 m,8,Multiple balconies,Available,Designer Renovation
Kentron,"Saryan Street, Yerevan","$1,200,000",Monolith,Yes,Available,16,231,5,3+,from 3 m,13,Multiple balconies,Partial Furniture,Major Renovation
Davitashen,"Անաստաս Միկոյան փողոց, Երևան","$210,000",Monolith,Yes,Available,18,110,4,2,from 3 m,9,Multiple balconies,Not available,Partial Renovation
Ajapnyak,"Bashinjaghyan street, Yerevan","$85,000",Panels,No,Available,16,87,3,1,from 2.75 m,2,Closed balcony,By agreement,Old Renovation
Kentron,"Yekmalyan street, Yerevan","$290,000",Monolith,Yes,Available,18,60,2,1,from 3 m,8,Not available,Available,Major Renovation
Kentron,"Abovyan street, Yerevan","$250,000",Stone,No,Available,6,64,2,1,from 3 m,4,Open balcony,Available,Euro Renovation
Kentron,"Sayat Nova avenue, Yerevan","$185,000",Stone,No,Not available,4,55,1,1,from 3 m,4,Multiple balconies,Available,Designer Renovation
Davitashen,"Davtashen 3rd Block 3, Yerevan","$122,000",Stone,Yes,Available,14,72,3,1,from 3 m,4,Open balcony,Not available,No Renovation
Kentron,"Marshal Baghramyan avenue, Yerevan","$205,000",Panels,No,Available,9,84,3,2,from 2.8 m,4,Multiple balconies,Available,Major Renovation
Erebuni,"Աթոյան փողոց 13, Երևան","$125,000",Stone,No,Not available,5,50,2,1,from 2.7 m,4,Closed balcony,Available,Euro Renovation
Arabkir,"Kievyan street, Yerevan","$150,000",Stone,No,Not available,5,51,2,1,from 2.7 m,4,Closed balcony,Available,Major Renovation
Kanaker-Zeytun,"Պարույր Սևակի փողոց, Երևան","$320,000",Monolith,Yes,Available,15,106,3,1,from 3 m,10,Open balcony,Available,Designer Renovation
Arabkir,"Կոմիտասի պողոտա, Երևան","$118,000",Stone,No,Not available,5,77,3,1,from 2.75 m,5,Open balcony,Available,Major Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$350,000",Monolith,Yes,Available,14,118,3,2,from 3 m,12,Open balcony,Available,Designer Renovation
Kentron,"Yervand Kochar street, Yerevan","$123,000",Panels,No,Available,16,41,2,1,from 2.8 m,14,Open balcony,Available,Major Renovation
Arabkir,"Գյուլբենկյան փողոց, Երևան","$110,000",Stone,No,Not available,4,71,3,1,from 2.6 m,4,Closed balcony,Partial Furniture,Partial Renovation
Ajapnyak,"Leningradyan street, Yerevan","$87,000",Stone,No,Not available,5,30,1,1,from 2.75 m,3,Open balcony,Available,Designer Renovation
Arabkir,"Griboyedov street, Yerevan","$175,000",Stone,No,Not available,5,71,2,1,from 3 m,3,Multiple balconies,Available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$290,000",Monolith,Yes,Available,16,76,3,1,from 3 m,6,Open balcony,Available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$165,000",Panels,No,Available,9,95,4,1,from 2.75 m,8,Closed balcony,Partial Furniture,Partial Renovation
Kentron,"Տերյան փողոց, Երևան","$320,000",Monolith,Yes,Available,9,62,3,2,from 3 m,3,Open balcony,Not available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$235,000",Monolith,Yes,Available,7,86,4,2,from 3 m,3,Open balcony,Available,Designer Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$105,000",Panels,No,Available,9,100,3,2,from 2.75 m,8,Multiple balconies,Partial Furniture,Old Renovation
Kentron,"Yervand Kochar street, Yerevan","$120,000",Panels,No,Available,13,50,2,1,from 2.8 m,10,Open balcony,Available,Major Renovation
Kentron,"Ռոստոմի փողոց, Երևան","$148,000",Monolith,Yes,Available,15,54,2,1,from 3 m,14,Open balcony,Not available,No Renovation
Erebuni,"Avanesov street, Yerevan","$105,000",Stone,No,Not available,5,112,4,2,from 2.8 m,4,Closed balcony,Not available,Designer Renovation
Arabkir,"Azatutyan Avenue, Yerevan","$100,000",Stone,No,Not available,5,61,2,1,from 2.75 m,5,Open balcony,Not available,Old Renovation
Shengavit,"Arshakuniats Avenue, Yerevan","$81,000",Stone,No,Not available,5,57,2,1,from 2.75 m,5,Closed balcony,Available,Partial Renovation
Arabkir,"Komitas Avenue 15, Yerevan","$480,000",Monolith,Yes,Available,17,192,2,1,from 3 m,8,Open balcony,Not available,No Renovation
Davitashen,"Տիգրան Պետրոսյանի փողոց, Երևան","$165,000",Panels,No,Available,9,100,3,2,from 2.75 m,2,Multiple balconies,Available,Euro Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$250,000",Monolith,Yes,Available,16,76,3,1,from 3 m,5,Open balcony,By agreement,Major Renovation
Arabkir,"Marshal Baghramyan avenue, Yerevan","$635,000",Monolith,Yes,Available,14,200,3,3+,from 3.2 m,5,Open balcony,Not available,Designer Renovation
Shengavit,"Sharuri street, Yerevan","$66,000",Panels,No,Available,9,72,2,2,from 2.75 m,8,Multiple balconies,Partial Furniture,Partial Renovation
Arabkir,"Կոմիտասի պողոտա, Երևան","$265,000",Stone,No,Not available,5,105,4,2,from 2.8 m,4,Multiple balconies,Available,Major Renovation
Arabkir,"Mamikonyants street 58, Yerevan","$190,000",Monolith,Yes,Available,12,96,4,2,from 3 m,7,Open balcony,Not available,No Renovation
Shengavit,"Bagratunyats Avenue, Yerevan","$74,000",Panels,No,Available,9,62,2,2,from 2.75 m,8,Closed balcony,By agreement,Old Renovation
Arabkir,"Նիկողայոս Ադոնցի փողոց, Երևան","$245,000",Monolith,Yes,Available,8,120,4,2,from 3 m,7,Open balcony,Not available,Major Renovation
Shengavit,"Artashisyan street, Yerevan","$82,000",Stone,No,Not available,5,75,3,2,from 2.75 m,4,Multiple balconies,Available,Partial Renovation
Arabkir,"Նիկողայոս Ադոնց փողոց, Երևան","84,000,000 ֏",Monolith,Yes,Available,9,103,3,2,from 3 m,6,Open balcony,By agreement,Major Renovation
Kentron,"Tigran Mets Avenue, Yerevan","$185,000",Stone,No,Not available,5,89,3,2,from 3.2 m,3,Multiple balconies,Available,Euro Renovation
Avan,"Avan-Arinj 1st micro 3/3, Yerevan","$77,000",Panels,No,Available,9,49,3,1,from 2.8 m,8,Not available,By agreement,Designer Renovation
Arabkir,"Նիկողայոս Ադոնցի փողոց, Երևան","$210,000",Monolith,Yes,Available,9,86,3,2,from 3 m,2,Multiple balconies,By agreement,Major Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$335,000",Monolith,Yes,Available,8,123,4,2,from 3 m,6,Multiple balconies,Available,Euro Renovation
Arabkir,"Nikoghayos Adonts street 6, Yerevan","$250,000",Monolith,Yes,Available,18,102,3,2,from 3 m,10,Multiple balconies,Available,Major Renovation
Arabkir,"Նիկողայոս Ադոնց փողոց 6, Երևան","$300,000",Monolith,Yes,Available,8,142,4,2,from 3 m,8,Multiple balconies,Not available,Major Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$270,000",Monolith,Yes,Available,7,120,4,2,from 3 m,4,Multiple balconies,By agreement,Major Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$228,000",Monolith,Yes,Available,10,97,3,2,from 3 m,7,Open balcony,Available,Major Renovation
Ajapnyak,"Fuchik street, Yerevan","$169,000",Monolith,Yes,Available,14,103,3,2,from 3 m,6,Open balcony,Not available,No Renovation
Erebuni,"Artsakh avenue, Yerevan","$78,000",Stone,No,Not available,4,81,4,1,from 2.6 m,3,Open balcony,Available,Old Renovation
Kentron,"Sayat Nova avenue, Yerevan","$210,000",Monolith,No,Available,10,81,3,1,from 2.75 m,8,Closed balcony,Not available,Old Renovation
Malatia-Sebastia,"Sebastia Street, Yerevan","$69,000",Panels,No,Available,9,42,1,1,from 2.8 m,4,Not available,Not available,Major Renovation
Ajapnyak,"Գրիգոր Հասրաթյանի փողոց, Երևան","$93,000",Monolith,Yes,Available,14,59,2,1,from 3 m,3,Open balcony,Not available,No Renovation
Shengavit,"улица Гарегина Нжде, Ереван","$55,000",Stone,No,Not available,4,30,1,1,from 2.7 m,4,Open balcony,Not available,Old Renovation
Kentron,"Zakian street 4, Yerevan","$240,000",Stone,No,Not available,5,60,3,1,from 2.8 m,4,Open balcony,Available,Designer Renovation
Ajapnyak,"Լենինգրադյան փողոց, Yerevan","$69,000",Stone,No,Not available,4,41,2,1,from 2.7 m,1,Not available,Not available,Designer Renovation
Kentron,"Հակոբ Պարոնյանի փողոց, Երևան","$143,000",Stone,No,Not available,4,52,2,1,from 3.2 m,4,Closed balcony,By agreement,Euro Renovation
Ajapnyak,"Nazarbekyan block 14, Yerevan","$48,000",Monolith,No,Available,14,30,2,1,from 2.8 m,10,Not available,Not available,Major Renovation
Arabkir,"Komitas Avenue 25, Yerevan","$90,000",Stone,No,Not available,5,35,1,1,from 3.2 m,3,Open balcony,Not available,Old Renovation
Shengavit,"Garegin Nzhdeh Street 18, Yerevan","$145,000",Stone,No,Not available,4,63,3,1,from 3.2 m,3,Not available,Available,Major Renovation
Kanaker-Zeytun,"Պարույր Սևակի փողոց, Երևան","$320,000",Monolith,Yes,Available,15,106,3,1,from 3 m,10,Open balcony,Available,Designer Renovation
Arabkir,"Կոմիտասի պողոտա, Երևան","$118,000",Stone,No,Not available,5,77,3,1,from 2.75 m,5,Open balcony,Available,Major Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$350,000",Monolith,Yes,Available,14,118,3,2,from 3 m,12,Open balcony,Available,Designer Renovation
Kentron,"Yervand Kochar street, Yerevan","$123,000",Panels,No,Available,16,41,2,1,from 2.8 m,14,Open balcony,Available,Major Renovation
Arabkir,"Գյուլբենկյան փողոց, Երևան","$110,000",Stone,No,Not available,4,71,3,1,from 2.6 m,4,Closed balcony,Partial Furniture,Partial Renovation
Ajapnyak,"Leningradyan street, Yerevan","$87,000",Stone,No,Not available,5,30,1,1,from 2.75 m,3,Open balcony,Available,Designer Renovation
Arabkir,"Griboyedov street, Yerevan","$175,000",Stone,No,Not available,5,71,2,1,from 3 m,3,Multiple balconies,Available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$290,000",Monolith,Yes,Available,16,76,3,1,from 3 m,6,Open balcony,Available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$165,000",Panels,No,Available,9,95,4,1,from 2.75 m,8,Closed balcony,Partial Furniture,Partial Renovation
Kentron,"Տերյան փողոց, Երևան","$320,000",Monolith,Yes,Available,9,62,3,2,from 3 m,3,Open balcony,Not available,Designer Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$235,000",Monolith,Yes,Available,7,86,4,2,from 3 m,3,Open balcony,Available,Designer Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$105,000",Panels,No,Available,9,100,3,2,from 2.75 m,8,Multiple balconies,Partial Furniture,Old Renovation
Kentron,"Yervand Kochar street, Yerevan","$120,000",Panels,No,Available,13,50,2,1,from 2.8 m,10,Open balcony,Available,Major Renovation
Kentron,"Ռոստոմի փողոց, Երևան","$148,000",Monolith,Yes,Available,15,54,2,1,from 3 m,14,Open balcony,Not available,No Renovation
Erebuni,"Avanesov street, Yerevan","$105,000",Stone,No,Not available,5,112,4,2,from 2.8 m,4,Closed balcony,Not available,Designer Renovation
Arabkir,"Azatutyan Avenue, Yerevan","$100,000",Stone,No,Not available,5,61,2,1,from 2.75 m,5,Open balcony,Not available,Old Renovation
Shengavit,"Arshakuniats Avenue, Yerevan","$81,000",Stone,No,Not available,5,57,2,1,from 2.75 m,5,Closed balcony,Available,Partial Renovation
Arabkir,"Komitas Avenue 15, Yerevan","$480,000",Monolith,Yes,Available,17,192,2,1,from 3 m,8,Open balcony,Not available,No Renovation
Davitashen,"Տիգրան Պետրոսյանի փողոց, Երևան","$165,000",Panels,No,Available,9,100,3,2,from 2.75 m,2,Multiple balconies,Available,Euro Renovation
Arabkir,"Արամ Խաչատրյանի փողոց, Երևան","$250,000",Monolith,Yes,Available,16,76,3,1,from 3 m,5,Open balcony,By agreement,Major Renovation
Arabkir,"Marshal Baghramyan avenue, Yerevan","$635,000",Monolith,Yes,Available,14,200,3,3+,from 3.2 m,5,Open balcony,Not available,Designer Renovation
Shengavit,"Sharuri street, Yerevan","$66,000",Panels,No,Available,9,72,2,2,from 2.75 m,8,Multiple balconies,Partial Furniture,Partial Renovation
Arabkir,"Կոմիտասի պողոտա, Երևան","$265,000",Stone,No,Not available,5,105,4,2,from 2.8 m,4,Multiple balconies,Available,Major Renovation
Arabkir,"Mamikonyants street 58, Yerevan","$190,000",Monolith,Yes,Available,12,96,4,2,from 3 m,7,Open balcony,Not available,No Renovation
Shengavit,"Bagratunyats Avenue, Yerevan","$74,000",Panels,No,Available,9,62,2,2,from 2.75 m,8,Closed balcony,By agreement,Old Renovation
Arabkir,"Նիկողայոս Ադոնցի փողոց, Երևան","$245,000",Monolith,Yes,Available,8,120,4,2,from 3 m,7,Open balcony,Not available,Major Renovation
Shengavit,"Artashisyan street, Yerevan","$82,000",Stone,No,Not available,5,75,3,2,from 2.75 m,4,Multiple balconies,Available,Partial Renovation
Arabkir,"Նիկողայոս Ադոնց փողոց, Երևան","84,000,000 ֏",Monolith,Yes,Available,9,103,3,2,from 3 m,6,Open balcony,By agreement,Major Renovation
Kentron,"Tigran Mets Avenue, Yerevan","$185,000",Stone,No,Not available,5,89,3,2,from 3.2 m,3,Multiple balconies,Available,Euro Renovation
Avan,"Avan-Arinj 1st micro 3/3, Yerevan","$77,000",Panels,No,Available,9,49,3,1,from 2.8 m,8,Not available,By agreement,Designer Renovation
Arabkir,"Նիկողայոս Ադոնցի փողոց, Երևան","$210,000",Monolith,Yes,Available,9,86,3,2,from 3 m,2,Multiple balconies,By agreement,Major Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$335,000",Monolith,Yes,Available,8,123,4,2,from 3 m,6,Multiple balconies,Available,Euro Renovation
Arabkir,"Nikoghayos Adonts street 6, Yerevan","$250,000",Monolith,Yes,Available,18,102,3,2,from 3 m,10,Multiple balconies,Available,Major Renovation
Arabkir,"Նիկողայոս Ադոնց փողոց 6, Երևան","$300,000",Monolith,Yes,Available,8,142,4,2,from 3 m,8,Multiple balconies,Not available,Major Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$270,000",Monolith,Yes,Available,7,120,4,2,from 3 m,4,Multiple balconies,By agreement,Major Renovation
Arabkir,"Nikoghayos Adonts street, Yerevan","$228,000",Monolith,Yes,Available,10,97,3,2,from 3 m,7,Open balcony,Available,Major Renovation
Ajapnyak,"Fuchik street, Yerevan","$169,000",Monolith,Yes,Available,14,103,3,2,from 3 m,6,Open balcony,Not available,No Renovation
Erebuni,"Artsakh avenue, Yerevan","$78,000",Stone,No,Not available,4,81,4,1,from 2.6 m,3,Open balcony,Available,Old Renovation
Kentron,"Sayat Nova avenue, Yerevan","$210,000",Monolith,No,Available,10,81,3,1,from 2.75 m,8,Closed balcony,Not available,Old Renovation
Malatia-Sebastia,"Raffi street 17, Yerevan","$100,000",Panels,No,Available,9,86,4,1,from 2.75 m,6,Open balcony,Not available,Partial Renovation
